date,value
2018-05-09,5379
2018-05-10,4994
2018-05-11,5093
2018-05-12,1444
2018-05-13,145
2018-05-14,4945
2018-05-15,3252
2018-05-16,3778
2018-05-17,6908
2018-05-18,2911
2018-05-19,2482
2018-05-20,5978.96998
2018-05-21,2497.03002
2018-05-22,1454
2018-05-23,2971
2018-05-24,3615
2018-05-25,2038
2018-05-26,1676
2018-05-27,2562
2018-05-28,1037
2018-05-29,4444
2018-05-30,2749
2018-05-31,4170
2018-06-01,7738
2018-06-02,2081
2018-06-03,79
2018-06-04,1358
2018-06-05,3080
2018-06-06,5679
2018-06-07,1511
2018-06-08,6468
2018-06-09,1758
2018-06-10,1717
2018-06-11,3701
2018-06-12,2838
2018-06-13,6235
2018-06-14,5263
2018-06-15,7678
2018-06-16,2459
2018-06-17,1808
2018-06-18,2688
2018-06-19,2508
2018-06-20,2833
2018-06-21,5265
2018-06-22,3242
2018-06-23,1471
2018-06-24,880
2018-06-25,5633
2018-06-26,4100
2018-06-27,4211
2018-06-28,6502
2018-06-29,2038
2018-06-30,1639
2018-07-01,3225
2018-07-02,1338
2018-07-03,2487
2018-07-04,1711
2018-07-05,1814
2018-07-06,6874
2018-07-07,495
2018-07-08,1991
2018-07-09,2160
2018-07-10,2402
2018-07-11,3938
2018-07-12,6556
2018-07-13,4090
2018-07-14,3499
2018-07-15,11119
2018-07-16,6164
2018-07-17,4849
2018-07-18,4517
2018-07-19,7094
2018-07-20,2078
2018-07-21,1739
2018-07-22,125
2018-07-23,2146
2018-07-24,2017
2018-07-25,6586
2018-07-26,3447
2018-07-27,358
2018-07-28,1161
2018-07-29,4630
2018-07-30,2416
2018-07-31,2677
2018-08-01,2789
2018-08-02,3429
2018-08-03,1256
2018-08-04,1952
2018-08-05,210
2018-08-06,1359
2018-08-07,1416
2018-08-08,5840
2018-08-09,6129
2018-08-10,3565
2018-08-11,4295
2018-08-12,987
2018-08-13,3241
2018-08-14,3083
2018-08-15,5404
2018-08-16,973
2018-08-17,3042
2018-08-18,3706
2018-08-19,1882
2018-08-20,4617
2018-08-21,3674
2018-08-22,5276
2018-08-23,4431
2018-08-24,687
2018-08-25,5178
2018-08-26,13
2018-08-27,2223
2018-08-28,3244
2018-08-29,3521
2018-08-30,2304
2018-08-31,3949
2018-09-01,979
2018-09-02,2494
2018-09-03,117
2018-09-04,3228
2018-09-05,3174
2018-09-06,465
2018-09-07,4125
2018-09-08,1360
2018-09-09,100
2018-09-10,2052
2018-09-11,4968
2018-09-12,5113
2018-09-13,1508
2018-09-14,4158
2018-09-15,1784
2018-09-16,3118
2018-09-17,4514
2018-09-18,6253
2018-09-19,2320
2018-09-20,880
2018-09-21,4838
2018-09-22,1938
2018-09-23,1947
2018-09-24,2684
2018-09-25,1021
2018-09-26,3580
2018-09-27,1830
2018-09-28,3109
2018-09-29,2373
2018-09-30,3566
2018-10-01,1383
2018-10-02,2379
2018-10-03,287
2018-10-04,3998
2018-10-05,1372
2018-10-06,2832
2018-10-07,726
2018-10-08,3384
2018-10-09,1783
2018-10-10,4479
2018-10-11,1462
2018-10-12,5744
2018-10-13,1634
2018-10-14,2021
2018-10-15,4796
2018-10-16,1556
2018-10-17,1811
2018-10-18,4175
2018-10-19,3704
2018-10-20,1713
2018-10-21,1815
2018-10-22,3678
2018-10-23,3674
2018-10-24,3011
2018-10-25,4121
2018-10-26,4501
2018-10-27,2459
2018-10-28,2106
2018-10-29,2157
2018-10-30,1960
2018-10-31,2972
2018-11-01,2411
2018-11-02,11461
2018-11-03,8960
2018-11-04,4684
2018-11-05,3837
2018-11-06,1768
2018-11-07,3088
2018-11-08,4719
2018-11-09,3100
2018-11-10,2972
2018-11-11,639
2018-11-12,2359
2018-11-13,3347
2018-11-14,2221
2018-11-15,3376
2018-11-16,3318
2018-11-17,187
2018-11-18,1397
2018-11-19,3982
2018-11-20,1863
2018-11-21,3929
2018-11-22,41
2018-11-23,133
2018-11-24,139
2018-11-25,1430
2018-11-26,4393
2018-11-27,2011
2018-11-28,1300
2018-11-29,3378
2018-11-30,1043
2018-12-01,1085
2018-12-02,582
2018-12-03,3863
2018-12-04,2873
2018-12-05,2759
2018-12-06,5618
2018-12-07,1234.540006
2018-12-08,468.4599935
2018-12-09,2276
2018-12-10,2666
2018-12-11,3572
2018-12-12,2266
2018-12-13,5418
2018-12-14,4433
2018-12-15,3795
2018-12-16,813
2018-12-17,3052
2018-12-18,1942
2018-12-19,12374
2018-12-20,709
2018-12-21,837
2018-12-22,3099
2018-12-23,1551
2018-12-24,463
2018-12-25,391
2018-12-26,4146
2018-12-27,763
2018-12-28,2940
2018-12-29,5092
2018-12-30,795
2018-12-31,1057
2019-01-01,2229
2019-01-02,1229
2019-01-03,209
2019-01-04,3831
2019-01-05,3325
2019-01-06,200
2019-01-07,204
2019-01-08,246
2019-01-09,2314
2019-01-10,3625
2019-01-11,4105
2019-01-12,462
2019-01-13,1709
2019-01-14,2572
2019-01-15,1656
2019-01-16,3391
2019-01-17,1423
2019-01-18,3346
2019-01-19,1558
2019-01-20,2714
2019-01-21,1427
2019-01-22,4992
2019-01-23,3118
2019-01-24,2101
2019-01-25,1330
2019-01-26,273
2019-01-27,829
2019-01-28,960
2019-01-29,1909
2019-01-30,1895
2019-01-31,51
2019-02-01,2622
2019-02-02,1511
2019-02-03,607
2019-02-04,674
2019-02-05,2757
2019-02-06,1331
2019-02-07,2957
2019-02-08,1476
2019-02-09,2409
2019-02-10,1035
2019-02-11,3670
2019-02-12,639
2019-02-13,2665
2019-02-14,2578
2019-02-15,4091
2019-02-16,3385
2019-02-17,1660
2019-02-18,2412
2019-02-19,2012
2019-02-20,1320
2019-02-21,4752
2019-02-22,3113
2019-02-23,210
2019-02-24,556
2019-02-25,2869
2019-02-26,2397
2019-02-27,2173
2019-02-28,2662
2019-03-01,1888
2019-03-02,2532
2019-03-03,532
2019-03-04,2580
2019-03-05,1102
2019-03-06,97
2019-03-07,2691
2019-03-08,4781
2019-03-09,1695.499135
2019-03-10,1325.500865
2019-03-11,5315
2019-03-12,1835
2019-03-13,737
2019-03-14,1800
2019-03-15,3600
2019-03-16,1715
2019-03-17,5385
2019-03-18,3222
2019-03-19,3306
2019-03-20,1092
2019-03-21,13599
2019-03-22,8889.214088
2019-03-23,13512.78591
2019-03-24,3891
2019-03-25,6839
2019-03-26,4767
2019-03-27,1704
2019-03-28,5998
2019-03-29,2697
2019-03-30,1035
2019-03-31,1788
2019-04-01,5433
2019-04-02,3530
2019-04-03,1491
2019-04-04,1206
2019-04-05,5776
2019-04-06,509
2019-04-07,3619
2019-04-08,2631
2019-04-09,2608
2019-04-10,869
2019-04-11,2159
2019-04-12,1323
2019-04-13,3824
2019-04-14,1935
2019-04-15,1822
2019-04-16,2588
2019-04-17,1245
2019-04-18,2711
2019-04-19,1783
2019-04-20,5765
2019-04-21,920
2019-04-22,2878
2019-04-23,3187
2019-04-24,2702
2019-04-25,836
2019-04-26,4893
2019-04-27,2427
2019-04-28,2687
2019-04-29,796
2019-04-30,2768
2019-05-01,1945
2019-05-02,1331
2019-05-03,5731
2019-05-04,1568
2019-05-05,2222
2019-05-06,5224
2019-05-07,2955
2019-05-08,7020
